agent_id,agent_name,shift_id,day,start_slot,span_slots,paid_hours,coverage_slots,break_slots,is_night
0,AGT-001,Tue_FT8_0900,1,36,34,8.0,30,4,False
0,AGT-001,Wed_FT8_1030,2,42,34,8.0,30,4,False
0,AGT-001,Thu_FT8_0500,3,20,34,8.0,30,4,True
0,AGT-001,Sat_FT8_0800,5,32,34,8.0,30,4,False
0,AGT-001,Sun_FT8_0400,6,16,34,8.0,30,4,True
1,AGT-002,Tue_FT8_0700,1,28,34,8.0,30,4,False
1,AGT-002,Wed_FT8_0700,2,28,34,8.0,30,4,False
1,AGT-002,Fri_FT8_0730,4,30,34,8.0,30,4,False
1,AGT-002,Sat_FT8_0930,5,38,34,8.0,30,4,False
1,AGT-002,Sun_FT8_1930,6,78,34,8.0,30,4,False
2,AGT-003,Mon_FT8_1330,0,54,34,8.0,30,4,False
2,AGT-003,Thu_FT8_0200,3,8,34,8.0,30,4,True
2,AGT-003,Fri_FT8_1130,4,46,34,8.0,30,4,False
2,AGT-003,Sat_FT8_1300,5,52,34,8.0,30,4,False
2,AGT-003,Sun_FT8_1800,6,72,34,8.0,30,4,False
3,AGT-004,Mon_FT8_0730,0,30,34,8.0,30,4,False
3,AGT-004,Tue_FT8_0800,1,32,34,8.0,30,4,False
3,AGT-004,Wed_FT8_1100,2,44,34,8.0,30,4,False
3,AGT-004,Fri_FT8_1130,4,46,34,8.0,30,4,False
3,AGT-004,Sun_FT8_1030,6,42,34,8.0,30,4,False
4,AGT-005,Mon_FT8_0400,0,16,34,8.0,30,4,True
4,AGT-005,Tue_FT8_1430,1,58,34,8.0,30,4,False
4,AGT-005,Wed_FT8_0930,2,38,34,8.0,30,4,False
4,AGT-005,Fri_FT8_0830,4,34,34,8.0,30,4,False
4,AGT-005,Sun_FT8_0100,6,4,34,8.0,30,4,True
5,AGT-006,Mon_FT8_0300,0,12,34,8.0,30,4,True
5,AGT-006,Tue_FT8_0700,1,28,34,8.0,30,4,False
5,AGT-006,Thu_FT8_1030,3,42,34,8.0,30,4,False
5,AGT-006,Fri_FT8_1000,4,40,34,8.0,30,4,False
5,AGT-006,Sat_FT8_2100,5,84,34,8.0,30,4,False
6,AGT-007,Mon_FT8_1000,0,40,34,8.0,30,4,False
6,AGT-007,Tue_FT8_0700,1,28,34,8.0,30,4,False
6,AGT-007,Thu_FT8_0700,3,28,34,8.0,30,4,False
6,AGT-007,Sat_FT8_1000,5,40,34,8.0,30,4,False
6,AGT-007,Sun_FT8_0630,6,26,34,8.0,30,4,False
7,AGT-008,Tue_FT8_1000,1,40,34,8.0,30,4,False
7,AGT-008,Thu_FT8_0100,3,4,34,8.0,30,4,True
7,AGT-008,Fri_FT8_1000,4,40,34,8.0,30,4,False
7,AGT-008,Sat_FT8_1300,5,52,34,8.0,30,4,False
7,AGT-008,Sun_FT8_0900,6,36,34,8.0,30,4,False
8,AGT-009,Mon_FT8_1900,0,76,34,8.0,30,4,False
8,AGT-009,Wed_FT8_0900,2,36,34,8.0,30,4,False
8,AGT-009,Thu_FT8_0730,3,30,34,8.0,30,4,False
8,AGT-009,Sat_FT8_0400,5,16,34,8.0,30,4,True
8,AGT-009,Sun_FT8_1000,6,40,34,8.0,30,4,False
9,AGT-010,Mon_FT8_0700,0,28,34,8.0,30,4,False
9,AGT-010,Tue_FT8_0800,1,32,34,8.0,30,4,False
9,AGT-010,Wed_FT8_1130,2,46,34,8.0,30,4,False
9,AGT-010,Thu_FT8_0830,3,34,34,8.0,30,4,False
9,AGT-010,Fri_FT8_0630,4,26,34,8.0,30,4,False
10,AGT-011,Mon_FT8_0900,0,36,34,8.0,30,4,False
10,AGT-011,Wed_FT8_0800,2,32,34,8.0,30,4,False
10,AGT-011,Thu_FT8_0830,3,34,34,8.0,30,4,False
10,AGT-011,Fri_FT8_0800,4,32,34,8.0,30,4,False
10,AGT-011,Sun_FT8_0900,6,36,34,8.0,30,4,False
11,AGT-012,Mon_FT8_0800,0,32,34,8.0,30,4,False
11,AGT-012,Tue_FT8_0800,1,32,34,8.0,30,4,False
11,AGT-012,Wed_FT8_1000,2,40,34,8.0,30,4,False
11,AGT-012,Thu_FT8_0700,3,28,34,8.0,30,4,False
11,AGT-012,Fri_FT8_1400,4,56,34,8.0,30,4,False
12,AGT-013,Tue_FT8_1000,1,40,34,8.0,30,4,False
12,AGT-013,Wed_FT8_0830,2,34,34,8.0,30,4,False
12,AGT-013,Thu_FT8_1500,3,60,34,8.0,30,4,False
12,AGT-013,Sat_FT8_0100,5,4,34,8.0,30,4,True
12,AGT-013,Sun_FT8_1300,6,52,34,8.0,30,4,False
13,AGT-014,Mon_FT8_1800,0,72,34,8.0,30,4,False
13,AGT-014,Tue_FT8_1600,1,64,34,8.0,30,4,False
13,AGT-014,Wed_FT8_1500,2,60,34,8.0,30,4,False
13,AGT-014,Thu_FT8_1000,3,40,34,8.0,30,4,False
