day,day_name,interval,week_interval,time,calls,aht_sec,required_agents,min_presence_floor,binding_constraint,profile,scheduled_active,net_slack,demand_shortfall,floor_shortfall,meets_requirement,floor_breach
0,Mon,0,0,00:00,1.0,290.9,4,4,floor,24/7 standard intake,4,0,0,0,True,False
0,Mon,1,1,00:15,-0.0,298.1,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,2,2,00:30,2.0,328.8,4,4,floor,24/7 standard intake,4,0,0,0,True,False
0,Mon,3,3,00:45,2.0,300.1,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,4,4,01:00,0.0,311.7,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,5,5,01:15,-0.0,348.6,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,6,6,01:30,1.0,312.2,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,7,7,01:45,1.0,336.2,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,8,8,02:00,1.0,299.5,4,4,floor,24/7 standard intake,4,0,0,0,True,False
0,Mon,9,9,02:15,0.0,315.5,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,10,10,02:30,2.0,299.1,4,4,floor,24/7 standard intake,4,0,0,0,True,False
0,Mon,11,11,02:45,2.0,312.5,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,12,12,03:00,1.0,338.5,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,13,13,03:15,3.0,282.0,4,4,floor,24/7 standard intake,7,3,0,0,True,False
0,Mon,14,14,03:30,2.0,329.6,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,15,15,03:45,0.0,325.2,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,16,16,04:00,2.0,306.9,4,4,floor,24/7 standard intake,7,3,0,0,True,False
0,Mon,17,17,04:15,1.0,288.2,4,4,floor,24/7 standard intake,7,3,0,0,True,False
0,Mon,18,18,04:30,3.0,321.6,4,4,floor,24/7 standard intake,5,1,0,0,True,False
0,Mon,19,19,04:45,2.0,308.4,4,4,floor,24/7 standard intake,6,2,0,0,True,False
0,Mon,20,20,05:00,3.0,325.1,4,4,floor,24/7 standard intake,4,0,0,0,True,False
