day,time,required,scheduled,delta
Mon,00:00,4,8,4
Mon,00:15,4,8,4
Mon,00:30,4,8,4
Mon,00:45,4,8,4
Mon,01:00,4,5,1
Mon,01:15,4,5,1
Mon,01:30,4,7,3
Mon,01:45,4,8,4
Mon,02:00,4,4,0
Mon,02:15,4,8,4
Mon,02:30,4,8,4
Mon,02:45,4,8,4
Mon,03:00,4,8,4
Mon,03:15,4,8,4
Mon,03:30,4,4,0
Mon,03:45,4,7,3
Mon,04:00,4,19,15
Mon,04:15,4,19,15
Mon,04:30,4,23,19
Mon,04:45,4,23,19
Mon,05:00,4,23,19
Mon,05:15,4,23,19
Mon,05:30,4,20,16
Mon,05:45,4,20,16
Mon,06:00,4,4,0
Mon,06:15,5,20,15
Mon,06:30,7,16,9
Mon,06:45,8,20,12
Mon,07:00,10,51,41
Mon,07:15,13,51,38
Mon,07:30,16,51,35
Mon,07:45,17,51,34
Mon,08:00,20,35,15
Mon,08:15,24,35,11
Mon,08:30,28,30,2
Mon,08:45,32,47,15
Mon,09:00,35,54,19
Mon,09:15,38,68,30
Mon,09:30,41,68,27
Mon,09:45,45,68,23
Mon,10:00,48,51,3
Mon,10:15,49,51,2
Mon,10:30,50,50,0
Mon,10:45,51,68,17
Mon,11:00,51,51,0
Mon,11:15,51,70,19
Mon,11:30,50,83,33
Mon,11:45,49,83,34
Mon,12:00,47,64,17
Mon,12:15,46,81,35
Mon,12:30,44,66,22
Mon,12:45,44,67,23
Mon,13:00,41,45,4
Mon,13:15,41,60,19
Mon,13:30,41,45,4
Mon,13:45,41,58,17
Mon,14:00,41,55,14
Mon,14:15,41,57,16
Mon,14:30,40,56,16
Mon,14:45,40,58,18
Mon,15:00,38,42,4
Mon,15:15,38,52,14
Mon,15:30,37,37,0
Mon,15:45,36,52,16
Mon,16:00,34,49,15
Mon,16:15,32,50,18
Mon,16:30,29,52,23
Mon,16:45,27,52,25
Mon,17:00,26,33,7
Mon,17:15,22,42,20
Mon,17:30,20,21,1
Mon,17:45,17,36,19
Mon,18:00,15,34,19
Mon,18:15,14,36,22
Mon,18:30,12,36,24
