pattern,agent_id,agent,day,shift_id,start,end,paid_hours,on_phone_intervals,break_intervals,overnight
seven_day_extended,22,AGT-023,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,27,AGT-028,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,44,AGT-045,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,57,AGT-058,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,67,AGT-068,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,70,AGT-071,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,72,AGT-073,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,79,AGT-080,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,82,AGT-083,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,88,AGT-089,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,92,AGT-093,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,94,AGT-095,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,11,AGT-012,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,25,AGT-026,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,46,AGT-047,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,50,AGT-051,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,52,AGT-053,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,56,AGT-057,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,61,AGT-062,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,75,AGT-076,Fri,Fri_PT4_0730,07:30,11:30,4.0,15,1,False
seven_day_extended,96,AGT-097,Fri,Fri_PT4_0730,07:30,11:30,4.0,15,1,False
seven_day_extended,0,AGT-001,Fri,Fri_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,5,AGT-006,Fri,Fri_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,31,AGT-032,Fri,Fri_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,48,AGT-049,Fri,Fri_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,74,AGT-075,Fri,Fri_PT4_0800,08:00,12:00,4.0,15,1,False
seven_day_extended,10,AGT-011,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
seven_day_extended,20,AGT-021,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
seven_day_extended,42,AGT-043,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
seven_day_extended,47,AGT-048,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
seven_day_extended,69,AGT-070,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
seven_day_extended,86,AGT-087,Fri,Fri_PT4_0830,08:30,12:30,4.0,15,1,False
seven_day_extended,91,AGT-092,Fri,Fri_PT4_0830,08:30,12:30,4.0,15,1,False
seven_day_extended,7,AGT-008,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,23,AGT-024,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,26,AGT-027,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,28,AGT-029,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,32,AGT-033,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,36,AGT-037,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,68,AGT-069,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
seven_day_extended,97,AGT-098,Fri,Fri_PT6_0900,09:00,15:30,6.0,22,4,False
seven_day_extended,3,AGT-004,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,14,AGT-015,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,37,AGT-038,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,40,AGT-041,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,62,AGT-063,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,66,AGT-067,Fri,Fri_FT8_0930,09:30,18:00,8.0,30,4,False
seven_day_extended,76,AGT-077,Fri,Fri_PT4_0930,09:30,13:30,4.0,15,1,False
seven_day_extended,2,AGT-003,Fri,Fri_FT8_1000,10:00,18:30,8.0,30,4,False
seven_day_extended,4,AGT-005,Fri,Fri_FT8_1000,10:00,18:30,8.0,30,4,False
seven_day_extended,43,AGT-044,Fri,Fri_FT8_1000,10:00,18:30,8.0,30,4,False
seven_day_extended,64,AGT-065,Fri,Fri_FT8_1000,10:00,18:30,8.0,30,4,False
seven_day_extended,93,AGT-094,Fri,Fri_PT4_1000,10:00,14:00,4.0,15,1,False
seven_day_extended,15,AGT-016,Fri,Fri_FT8_1030,10:30,19:00,8.0,30,4,False
seven_day_extended,54,AGT-055,Fri,Fri_FT8_1030,10:30,19:00,8.0,30,4,False
seven_day_extended,55,AGT-056,Fri,Fri_FT8_1030,10:30,19:00,8.0,30,4,False
seven_day_extended,71,AGT-072,Fri,Fri_FT8_1030,10:30,19:00,8.0,30,4,False
seven_day_extended,12,AGT-013,Fri,Fri_FT8_1100,11:00,19:30,8.0,30,4,False
seven_day_extended,29,AGT-030,Fri,Fri_FT8_1100,11:00,19:30,8.0,30,4,False
seven_day_extended,65,AGT-066,Fri,Fri_FT8_1100,11:00,19:30,8.0,30,4,False
seven_day_extended,34,AGT-035,Fri,Fri_FT8_1130,11:30,20:00,8.0,30,4,False
seven_day_extended,16,AGT-017,Fri,Fri_FT8_1230,12:30,21:00,8.0,30,4,False
seven_day_extended,89,AGT-090,Fri,Fri_PT6_1430,14:30,21:00,6.0,22,4,False
seven_day_extended,84,AGT-085,Fri,Fri_PT6_1500,15:00,21:30,6.0,22,4,False
seven_day_extended,77,AGT-078,Fri,Fri_PT6_1530,15:30,22:00,6.0,22,4,False
seven_day_extended,85,AGT-086,Fri,Fri_PT6_1530,15:30,22:00,6.0,22,4,False
seven_day_extended,8,AGT-009,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,10,AGT-011,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,11,AGT-012,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,17,AGT-018,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,21,AGT-022,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,40,AGT-041,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,42,AGT-043,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,56,AGT-057,Mon,Mon_FT8_0700,07:00,15:30,8.0,30,4,False
seven_day_extended,78,AGT-079,Mon,Mon_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,82,AGT-083,Mon,Mon_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,83,AGT-084,Mon,Mon_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,93,AGT-094,Mon,Mon_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,95,AGT-096,Mon,Mon_PT6_0700,07:00,13:30,6.0,22,4,False
seven_day_extended,2,AGT-003,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,3,AGT-004,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,4,AGT-005,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,12,AGT-013,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,14,AGT-015,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,30,AGT-031,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,37,AGT-038,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,54,AGT-055,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,71,AGT-072,Mon,Mon_FT8_0730,07:30,16:00,8.0,30,4,False
seven_day_extended,1,AGT-002,Mon,Mon_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,5,AGT-006,Mon,Mon_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,15,AGT-016,Mon,Mon_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,24,AGT-025,Mon,Mon_FT8_0800,08:00,16:30,8.0,30,4,False
seven_day_extended,91,AGT-092,Mon,Mon_PT4_0800,08:00,12:00,4.0,15,1,False
seven_day_extended,0,AGT-001,Mon,Mon_FT8_0830,08:30,17:00,8.0,30,4,False
