pattern,agent_id,agent,day,shift_id,start,end,paid_hours,on_phone_intervals,break_intervals,overnight
weekday_extended,0,AGT-001,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,20,AGT-021,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,33,AGT-034,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,37,AGT-038,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,38,AGT-039,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,44,AGT-045,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,47,AGT-048,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
weekday_extended,49,AGT-050,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,50,AGT-051,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,54,AGT-055,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,58,AGT-059,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,59,AGT-060,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,64,AGT-065,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
weekday_extended,6,AGT-007,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
weekday_extended,12,AGT-013,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
weekday_extended,15,AGT-016,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
weekday_extended,17,AGT-018,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
weekday_extended,18,AGT-019,Fri,Fri_FT8_0730,07:30,16:00,8.0,30,4,False
weekday_extended,52,AGT-053,Fri,Fri_PT4_0730,07:30,11:30,4.0,15,1,False
weekday_extended,57,AGT-058,Fri,Fri_PT4_0730,07:30,11:30,4.0,15,1,False
weekday_extended,11,AGT-012,Fri,Fri_FT8_0800,08:00,16:30,8.0,30,4,False
weekday_extended,53,AGT-054,Fri,Fri_PT6_0800,08:00,14:30,6.0,22,4,False
weekday_extended,62,AGT-063,Fri,Fri_PT4_0800,08:00,12:00,4.0,15,1,False
weekday_extended,63,AGT-064,Fri,Fri_PT4_0800,08:00,12:00,4.0,15,1,False
weekday_extended,4,AGT-005,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,10,AGT-011,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,26,AGT-027,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,34,AGT-035,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,35,AGT-036,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,39,AGT-040,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,42,AGT-043,Fri,Fri_FT8_0830,08:30,17:00,8.0,30,4,False
weekday_extended,60,AGT-061,Fri,Fri_PT4_0830,08:30,12:30,4.0,15,1,False
weekday_extended,1,AGT-002,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
weekday_extended,2,AGT-003,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
weekday_extended,7,AGT-008,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
weekday_extended,9,AGT-010,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
weekday_extended,29,AGT-030,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
weekday_extended,36,AGT-037,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
