agent,kind,min_hours,max_hours,scheduled_hours,shortfall,shifts,accommodation
AGT-001,full_time,32.0,40.0,34.0,0.0,5,must start by 09:00
AGT-002,full_time,32.0,40.0,32.0,0.0,5,-
AGT-003,full_time,32.0,37.5,36.0,0.0,5,-
AGT-004,full_time,32.0,40.0,38.0,0.0,5,-
AGT-005,full_time,32.0,37.5,36.0,0.0,5,-
AGT-006,full_time,32.0,40.0,34.0,0.0,5,-
AGT-007,full_time,32.0,40.0,38.0,0.0,5,-
AGT-008,full_time,32.0,37.5,34.0,0.0,5,-
AGT-009,full_time,32.0,37.5,34.0,0.0,5,-
AGT-010,full_time,32.0,37.5,32.0,0.0,5,-
AGT-011,full_time,32.0,40.0,32.0,0.0,5,-
AGT-012,full_time,32.0,37.5,36.0,0.0,5,-
AGT-013,full_time,32.0,40.0,40.0,0.0,5,-
AGT-014,full_time,32.0,40.0,38.0,0.0,5,-
AGT-015,full_time,32.0,37.5,32.0,0.0,5,-
AGT-016,full_time,32.0,40.0,38.0,0.0,5,-
AGT-017,full_time,32.0,40.0,32.0,0.0,5,-
AGT-018,full_time,32.0,40.0,36.0,0.0,5,-
AGT-019,full_time,32.0,37.5,34.0,0.0,5,must start by 09:00
AGT-020,full_time,32.0,40.0,40.0,0.0,5,-
AGT-021,full_time,32.0,37.5,32.0,0.0,5,-
AGT-022,full_time,32.0,40.0,32.0,0.0,5,-
AGT-023,full_time,32.0,37.5,32.0,0.0,4,-
AGT-024,full_time,32.0,40.0,36.0,0.0,5,-
AGT-025,full_time,32.0,40.0,36.0,0.0,5,-
AGT-026,full_time,32.0,40.0,34.0,0.0,5,-
AGT-027,full_time,32.0,40.0,34.0,0.0,5,-
AGT-028,full_time,32.0,40.0,34.0,0.0,5,-
AGT-029,full_time,32.0,40.0,40.0,0.0,5,-
AGT-030,full_time,32.0,37.5,36.0,0.0,5,-
AGT-031,full_time,32.0,40.0,34.0,0.0,5,-
AGT-032,full_time,32.0,40.0,40.0,0.0,5,-
AGT-033,full_time,32.0,40.0,36.0,0.0,5,-
AGT-034,full_time,32.0,40.0,40.0,0.0,5,-
AGT-035,full_time,32.0,40.0,36.0,0.0,5,-
AGT-036,full_time,32.0,40.0,32.0,0.0,5,-
AGT-037,full_time,32.0,37.5,34.0,0.0,5,-
AGT-038,full_time,32.0,37.5,36.0,0.0,5,-
AGT-039,full_time,32.0,37.5,36.0,0.0,5,-
AGT-040,full_time,32.0,37.5,36.0,0.0,5,-
AGT-041,full_time,32.0,37.5,36.0,0.0,5,-
AGT-042,full_time,32.0,40.0,32.0,0.0,5,-
AGT-043,full_time,32.0,37.5,32.0,0.0,5,-
AGT-044,full_time,32.0,40.0,32.0,0.0,5,-
AGT-045,full_time,32.0,37.5,36.0,0.0,5,-
AGT-046,part_time,8.0,20.0,18.0,0.0,4,-
AGT-047,part_time,8.0,20.0,20.0,0.0,5,-
AGT-048,part_time,8.0,20.0,20.0,0.0,4,-
AGT-049,part_time,8.0,20.0,18.0,0.0,3,cannot start before 10:00
AGT-050,part_time,8.0,24.0,24.0,0.0,5,-
AGT-051,part_time,8.0,24.0,24.0,0.0,5,-
AGT-052,part_time,8.0,24.0,24.0,0.0,5,-
AGT-053,part_time,8.0,20.0,20.0,0.0,5,-
AGT-054,part_time,8.0,24.0,24.0,0.0,5,-
AGT-055,part_time,8.0,20.0,20.0,0.0,5,-
AGT-056,part_time,8.0,24.0,24.0,0.0,5,cannot start before 10:00
AGT-057,part_time,8.0,24.0,24.0,0.0,5,-
AGT-058,part_time,8.0,20.0,20.0,0.0,4,-
AGT-059,part_time,8.0,20.0,20.0,0.0,5,-
AGT-060,part_time,8.0,20.0,20.0,0.0,5,-
