day,day_name,interval,time,required,scheduled,delta
0,Mon,0,07:00,4,5,1
0,Mon,1,07:15,5,5,0
0,Mon,2,07:30,9,10,1
0,Mon,3,07:45,10,10,0
0,Mon,4,08:00,12,16,4
0,Mon,5,08:15,16,16,0
0,Mon,6,08:30,21,24,3
0,Mon,7,08:45,26,26,0
0,Mon,8,09:00,35,35,0
0,Mon,9,09:15,34,38,4
0,Mon,10,09:30,46,42,-4
0,Mon,11,09:45,43,47,4
0,Mon,12,10:00,50,48,-2
0,Mon,13,10:15,54,54,0
0,Mon,14,10:30,55,44,-11
0,Mon,15,10:45,54,58,4
0,Mon,16,11:00,52,45,-7
0,Mon,17,11:15,44,55,11
0,Mon,18,11:30,41,41,0
0,Mon,19,11:45,40,51,11
0,Mon,20,12:00,34,35,1
0,Mon,21,12:15,29,43,14
0,Mon,22,12:30,29,37,8
0,Mon,23,12:45,28,39,11
0,Mon,24,13:00,30,40,10
0,Mon,25,13:15,31,40,9
0,Mon,26,13:30,34,41,7
0,Mon,27,13:45,34,42,8
0,Mon,28,14:00,37,37,0
0,Mon,29,14:15,41,43,2
0,Mon,30,14:30,41,41,0
0,Mon,31,14:45,41,47,6
0,Mon,32,15:00,38,38,0
0,Mon,33,15:15,38,51,13
0,Mon,34,15:30,38,38,0
0,Mon,35,15:45,34,46,12
0,Mon,36,16:00,34,35,1
0,Mon,37,16:15,29,42,13
0,Mon,38,16:30,26,29,3
0,Mon,39,16:45,25,35,10
0,Mon,40,17:00,22,21,-1
0,Mon,41,17:15,19,25,6
0,Mon,42,17:30,14,17,3
0,Mon,43,17:45,12,17,5
0,Mon,44,18:00,10,10,0
0,Mon,45,18:15,7,10,3
0,Mon,46,18:30,7,4,-3
0,Mon,47,18:45,5,4,-1
0,Mon,48,19:00,5,0,-5
1,Tue,0,07:00,4,7,3
1,Tue,1,07:15,5,7,2
1,Tue,2,07:30,7,11,4
1,Tue,3,07:45,11,11,0
1,Tue,4,08:00,11,18,7
1,Tue,5,08:15,15,18,3
1,Tue,6,08:30,19,22,3
1,Tue,7,08:45,24,25,1
1,Tue,8,09:00,32,32,0
1,Tue,9,09:15,34,36,2
1,Tue,10,09:30,42,42,0
1,Tue,11,09:45,40,46,6
1,Tue,12,10:00,43,44,1
1,Tue,13,10:15,45,51,6
1,Tue,14,10:30,45,44,-1
1,Tue,15,10:45,53,55,2
1,Tue,16,11:00,42,43,1
1,Tue,17,11:15,44,51,7
1,Tue,18,11:30,36,35,-1
1,Tue,19,11:45,37,49,12
1,Tue,20,12:00,34,34,0
1,Tue,21,12:15,29,40,11
1,Tue,22,12:30,27,39,12
1,Tue,23,12:45,26,40,14
1,Tue,24,13:00,28,35,7
1,Tue,25,13:15,29,35,6
1,Tue,26,13:30,28,33,5
1,Tue,27,13:45,29,35,6
1,Tue,28,14:00,35,35,0
1,Tue,29,14:15,38,41,3
1,Tue,30,14:30,36,38,2
1,Tue,31,14:45,36,43,7
1,Tue,32,15:00,38,38,0
1,Tue,33,15:15,38,49,11
1,Tue,34,15:30,36,36,0
1,Tue,35,15:45,32,43,11
1,Tue,36,16:00,31,31,0
1,Tue,37,16:15,28,40,12
1,Tue,38,16:30,28,28,0
1,Tue,39,16:45,23,31,8
1,Tue,40,17:00,19,19,0
1,Tue,41,17:15,17,25,8
1,Tue,42,17:30,15,18,3
1,Tue,43,17:45,12,18,6
1,Tue,44,18:00,7,9,2
1,Tue,45,18:15,7,9,2
1,Tue,46,18:30,6,6,0
1,Tue,47,18:45,4,6,2
1,Tue,48,19:00,3,0,-3
2,Wed,0,07:00,4,6,2
2,Wed,1,07:15,5,6,1
2,Wed,2,07:30,8,10,2
2,Wed,3,07:45,10,10,0
2,Wed,4,08:00,11,19,8
2,Wed,5,08:15,16,19,3
2,Wed,6,08:30,20,28,8
2,Wed,7,08:45,27,28,1
2,Wed,8,09:00,25,26,1
2,Wed,9,09:15,32,32,0
2,Wed,10,09:30,38,39,1
2,Wed,11,09:45,41,43,2
2,Wed,12,10:00,42,42,0
2,Wed,13,10:15,45,52,7
2,Wed,14,10:30,43,43,0
2,Wed,15,10:45,43,53,10
2,Wed,16,11:00,42,42,0
2,Wed,17,11:15,40,47,7
2,Wed,18,11:30,35,34,-1
2,Wed,19,11:45,35,47,12
2,Wed,20,12:00,33,33,0
2,Wed,21,12:15,30,37,7
2,Wed,22,12:30,27,28,1
2,Wed,23,12:45,26,29,3
2,Wed,24,13:00,26,33,7
2,Wed,25,13:15,26,33,7
2,Wed,26,13:30,29,29,0
2,Wed,27,13:45,29,35,6
2,Wed,28,14:00,36,37,1
2,Wed,29,14:15,37,39,2
2,Wed,30,14:30,38,38,0
2,Wed,31,14:45,35,42,7
2,Wed,32,15:00,32,32,0
2,Wed,33,15:15,37,45,8
2,Wed,34,15:30,33,33,0
2,Wed,35,15:45,32,38,6
2,Wed,36,16:00,26,27,1
2,Wed,37,16:15,29,35,6
2,Wed,38,16:30,24,25,1
2,Wed,39,16:45,19,29,10
2,Wed,40,17:00,16,17,1
2,Wed,41,17:15,16,21,5
2,Wed,42,17:30,12,16,4
2,Wed,43,17:45,10,16,6
2,Wed,44,18:00,8,8,0
2,Wed,45,18:15,7,8,1
2,Wed,46,18:30,4,4,0
2,Wed,47,18:45,3,4,1
2,Wed,48,19:00,5,0,-5
3,Thu,0,07:00,4,6,2
3,Thu,1,07:15,6,6,0
3,Thu,2,07:30,6,11,5
3,Thu,3,07:45,8,11,3
3,Thu,4,08:00,10,17,7
3,Thu,5,08:15,14,17,3
3,Thu,6,08:30,22,22,0
3,Thu,7,08:45,22,22,0
3,Thu,8,09:00,29,29,0
3,Thu,9,09:15,30,35,5
3,Thu,10,09:30,38,38,0
3,Thu,11,09:45,41,43,2
3,Thu,12,10:00,43,43,0
3,Thu,13,10:15,46,49,3
3,Thu,14,10:30,46,46,0
3,Thu,15,10:45,42,56,14
3,Thu,16,11:00,42,41,-1
3,Thu,17,11:15,38,50,12
