agent,day,shift,start,end,paid_hours,on_phone_intervals
AGT-001,Mon,FT8_0800,08:00,16:30,8.0,30
AGT-001,Tue,PT6_0900,09:00,15:30,6.0,22
AGT-001,Wed,FT8_0900,09:00,17:30,8.0,30
AGT-001,Thu,PT6_0900,09:00,15:30,6.0,22
AGT-001,Fri,PT6_0900,09:00,15:30,6.0,22
AGT-002,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-002,Tue,PT4_1500,15:00,19:00,4.0,15
AGT-002,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-002,Thu,PT4_1430,14:30,18:30,4.0,15
AGT-002,Fri,FT8_0830,08:30,17:00,8.0,30
AGT-003,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-003,Tue,PT6_1000,10:00,16:30,6.0,22
AGT-003,Wed,FT8_0830,08:30,17:00,8.0,30
AGT-003,Thu,FT8_1000,10:00,18:30,8.0,30
AGT-003,Fri,PT6_1100,11:00,17:30,6.0,22
AGT-004,Mon,FT8_0830,08:30,17:00,8.0,30
AGT-004,Tue,FT8_0800,08:00,16:30,8.0,30
AGT-004,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-004,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-004,Fri,PT6_1000,10:00,16:30,6.0,22
AGT-005,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-005,Tue,FT8_0930,09:30,18:00,8.0,30
AGT-005,Wed,FT8_0700,07:00,15:30,8.0,30
AGT-005,Thu,PT6_1030,10:30,17:00,6.0,22
AGT-005,Fri,PT6_0930,09:30,16:00,6.0,22
AGT-006,Mon,FT8_0930,09:30,18:00,8.0,30
AGT-006,Tue,PT4_1500,15:00,19:00,4.0,15
AGT-006,Wed,PT6_0830,08:30,15:00,6.0,22
AGT-006,Thu,FT8_1030,10:30,19:00,8.0,30
AGT-006,Fri,FT8_1000,10:00,18:30,8.0,30
AGT-007,Mon,FT8_1000,10:00,18:30,8.0,30
AGT-007,Tue,FT8_0830,08:30,17:00,8.0,30
AGT-007,Wed,FT8_0930,09:30,18:00,8.0,30
AGT-007,Thu,FT8_0900,09:00,17:30,8.0,30
AGT-007,Fri,PT6_1000,10:00,16:30,6.0,22
AGT-008,Mon,PT4_1500,15:00,19:00,4.0,15
AGT-008,Tue,FT8_1000,10:00,18:30,8.0,30
