day,interval,calls,aht,required_agents
0,0,9,279,5
0,1,12,321,7
0,2,18,307,9
0,3,24,301,12
0,4,26,327,13
0,5,30,335,15
0,6,36,333,18
0,7,39,298,17
0,8,40,308,18
0,9,45,321,21
0,10,46,334,22
0,11,49,305,21
0,12,52,311,23
0,13,51,292,21
0,14,52,291,21
0,15,55,331,25
0,16,55,342,26
0,17,57,313,25
0,18,55,335,25
0,19,54,322,24
0,20,58,302,24
0,21,54,322,24
0,22,53,345,25
0,23,50,314,22
0,24,49,346,24
0,25,48,262,18
0,26,44,331,21
0,27,44,316,20
0,28,41,309,18
0,29,39,316,18
0,30,36,275,15
0,31,37,310,17
0,32,32,322,15
0,33,28,344,15
0,34,29,304,14
0,35,24,298,11
0,36,24,304,12
0,37,19,333,10
0,38,18,321,10
0,39,19,304,10
0,40,18,325,10
0,41,16,316,9
0,42,14,334,8
0,43,13,300,7
0,44,10,308,6
0,45,10,307,6
0,46,9,285,5
0,47,11,320,7
0,48,9,320,6
1,0,8,288,5
1,1,12,325,7
1,2,15,320,8
1,3,21,320,11
1,4,25,321,13
1,5,29,301,13
1,6,34,319,16
1,7,38,320,18
1,8,44,300,19
1,9,45,352,22
1,10,47,324,22
1,11,49,291,20
1,12,49,328,23
1,13,53,295,22
1,14,55,330,25
1,15,60,338,28
1,16,56,298,23
1,17,57,334,26
1,18,57,323,25
1,19,55,331,25
1,20,57,352,27
1,21,56,310,24
1,22,54,299,23
1,23,50,297,21
1,24,52,298,22
1,25,46,313,20
1,26,47,321,21
1,27,47,320,21
1,28,40,331,19
1,29,38,315,18
1,30,37,344,18
1,31,34,309,16
1,32,30,369,16
1,33,30,327,15
1,34,26,297,12
1,35,26,293,12
1,36,22,324,11
1,37,24,310,12
1,38,19,329,10
1,39,18,324,10
1,40,18,313,9
1,41,14,298,8
1,42,15,284,8
1,43,15,306,8
1,44,9,332,6
1,45,11,319,7
1,46,10,290,6
1,47,10,318,6
1,48,6,322,4
2,0,7,308,5
2,1,13,305,7
2,2,17,301,9
2,3,20,350,11
2,4,26,323,13
2,5,31,289,14
2,6,36,333,18
2,7,39,357,20
2,8,39,335,19
2,9,43,284,18
2,10,48,305,21
2,11,50,340,24
2,12,52,300,22
2,13,59,323,26
2,14,56,330,25
2,15,58,296,24
2,16,58,313,25
2,17,58,250,20
2,18,56,294,23
2,19,57,309,24
2,20,54,290,22
2,21,54,347,26
2,22,53,286,21
2,23,52,306,22
2,24,53,317,23
2,25,45,343,22
2,26,47,286,19
2,27,41,338,20
2,28,41,315,19
2,29,41,295,18
2,30,37,324,18
2,31,33,318,16
2,32,31,302,14
2,33,31,316,15
2,34,27,307,13
2,35,26,317,13
2,36,24,328,12
2,37,21,346,12
2,38,23,290,11
2,39,19,357,11
2,40,14,275,7
2,41,16,311,9
2,42,13,326,8
2,43,14,320,8
2,44,11,302,6
2,45,11,310,7
2,46,11,305,6
2,47,10,303,6
2,48,6,331,5
3,0,9,304,6
3,1,12,305,7
3,2,18,319,10
3,3,22,286,10
3,4,27,286,12
3,5,31,300,14
3,6,33,310,15
3,7,37,321,17
3,8,42,344,21
3,9,45,332,21
3,10,47,311,21
3,11,50,314,22
3,12,54,294,22
3,13,53,314,23
3,14,56,309,24
3,15,56,321,25
3,16,56,298,23
3,17,58,325,26
3,18,58,345,27
3,19,58,312,25
3,20,58,323,26
3,21,55,328,25
3,22,54,306,23
3,23,51,319,23
3,24,50,315,22
3,25,48,316,21
3,26,46,299,20
3,27,45,315,20
3,28,40,324,19
3,29,42,344,21
3,30,35,334,17
3,31,33,358,17
3,32,34,299,15
3,33,31,332,15
3,34,29,318,14
3,35,27,358,15
3,36,24,298,11
3,37,20,298,10
3,38,20,303,10
3,39,17,272,8
3,40,18,304,9
3,41,15,299,8
3,42,13,318,8
3,43,12,321,7
3,44,12,352,8
3,45,10,334,6
3,46,9,303,6
3,47,9,297,5
3,48,8,324,5
4,0,6,314,4
4,1,15,273,7
4,2,19,313,10
4,3,21,288,10
4,4,23,328,12
4,5,32,322,15
4,6,34,296,15
4,7,40,304,18
4,8,39,293,17
4,9,43,313,19
4,10,47,334,22
4,11,50,295,21
4,12,51,325,23
4,13,54,304,23
4,14,53,299,22
4,15,56,312,24
4,16,57,294,23
4,17,58,303,24
4,18,58,291,23
4,19,55,354,27
4,20,53,315,23
4,21,56,301,23
4,22,54,319,24
4,23,51,312,22
4,24,52,310,23
4,25,48,327,22
4,26,48,330,22
4,27,44,304,19
4,28,45,303,20
4,29,42,309,19
4,30,37,268,15
4,31,36,284,15
4,32,33,342,17
4,33,32,347,16
4,34,26,310,13
4,35,27,326,14
4,36,25,321,13
4,37,19,376,12
4,38,18,337,10
4,39,15,312,8
4,40,16,295,8
4,41,17,282,8
4,42,16,319,9
4,43,13,299,7
4,44,14,286,7
4,45,9,302,6
4,46,7,293,5
4,47,9,348,6
4,48,9,332,6
