day,day_name,interval,time,required,scheduled,delta
0,Mon,0,07:00,4,6,2
0,Mon,1,07:15,5,6,1
0,Mon,2,07:30,9,10,1
0,Mon,3,07:45,10,10,0
0,Mon,4,08:00,12,16,4
0,Mon,5,08:15,16,16,0
0,Mon,6,08:30,21,23,2
0,Mon,7,08:45,26,26,0
0,Mon,8,09:00,35,35,0
0,Mon,9,09:15,34,38,4
0,Mon,10,09:30,46,43,-3
0,Mon,11,09:45,43,47,4
0,Mon,12,10:00,50,47,-3
0,Mon,13,10:15,54,54,0
0,Mon,14,10:30,55,46,-9
0,Mon,15,10:45,54,58,4
0,Mon,16,11:00,52,44,-8
0,Mon,17,11:15,44,55,11
0,Mon,18,11:30,41,41,0
0,Mon,19,11:45,40,51,11
0,Mon,20,12:00,34,35,1
0,Mon,21,12:15,29,45,16
0,Mon,22,12:30,29,41,12
0,Mon,23,12:45,28,42,14
0,Mon,24,13:00,30,41,11
0,Mon,25,13:15,31,41,10
0,Mon,26,13:30,34,40,6
0,Mon,27,13:45,34,42,8
0,Mon,28,14:00,37,37,0
0,Mon,29,14:15,41,42,1
0,Mon,30,14:30,41,41,0
0,Mon,31,14:45,41,48,7
0,Mon,32,15:00,38,38,0
0,Mon,33,15:15,38,50,12
0,Mon,34,15:30,38,38,0
0,Mon,35,15:45,34,46,12
0,Mon,36,16:00,34,35,1
0,Mon,37,16:15,29,42,13
0,Mon,38,16:30,26,27,1
0,Mon,39,16:45,25,34,9
0,Mon,40,17:00,22,22,0
0,Mon,41,17:15,19,25,6
0,Mon,42,17:30,14,17,3
0,Mon,43,17:45,12,17,5
0,Mon,44,18:00,10,10,0
0,Mon,45,18:15,7,10,3
0,Mon,46,18:30,7,3,-4
0,Mon,47,18:45,5,3,-2
0,Mon,48,19:00,5,0,-5
1,Tue,0,07:00,4,6,2
1,Tue,1,07:15,5,6,1
1,Tue,2,07:30,7,11,4
1,Tue,3,07:45,11,11,0
1,Tue,4,08:00,11,17,6
1,Tue,5,08:15,15,17,2
1,Tue,6,08:30,19,20,1
1,Tue,7,08:45,24,24,0
1,Tue,8,09:00,32,32,0
1,Tue,9,09:15,34,35,1
1,Tue,10,09:30,42,42,0
1,Tue,11,09:45,40,46,6
1,Tue,12,10:00,43,43,0
1,Tue,13,10:15,45,49,4
1,Tue,14,10:30,45,45,0
1,Tue,15,10:45,53,54,1
1,Tue,16,11:00,42,42,0
1,Tue,17,11:15,44,53,9
1,Tue,18,11:30,36,36,0
1,Tue,19,11:45,37,50,13
1,Tue,20,12:00,34,38,4
1,Tue,21,12:15,29,45,16
1,Tue,22,12:30,27,40,13
1,Tue,23,12:45,26,42,16
1,Tue,24,13:00,28,35,7
1,Tue,25,13:15,29,35,6
1,Tue,26,13:30,28,33,5
1,Tue,27,13:45,29,34,5
1,Tue,28,14:00,35,36,1
1,Tue,29,14:15,38,41,3
1,Tue,30,14:30,36,36,0
1,Tue,31,14:45,36,42,6
1,Tue,32,15:00,38,38,0
1,Tue,33,15:15,38,48,10
1,Tue,34,15:30,36,36,0
1,Tue,35,15:45,32,45,13
1,Tue,36,16:00,31,31,0
1,Tue,37,16:15,28,40,12
1,Tue,38,16:30,28,29,1
1,Tue,39,16:45,23,31,8
1,Tue,40,17:00,19,19,0
1,Tue,41,17:15,17,25,8
1,Tue,42,17:30,15,17,2
1,Tue,43,17:45,12,17,5
1,Tue,44,18:00,7,8,1
1,Tue,45,18:15,7,8,1
1,Tue,46,18:30,6,6,0
1,Tue,47,18:45,4,6,2
1,Tue,48,19:00,3,0,-3
2,Wed,0,07:00,4,6,2
2,Wed,1,07:15,5,6,1
2,Wed,2,07:30,8,10,2
2,Wed,3,07:45,10,10,0
2,Wed,4,08:00,11,18,7
2,Wed,5,08:15,16,18,2
2,Wed,6,08:30,20,27,7
2,Wed,7,08:45,27,27,0
2,Wed,8,09:00,25,26,1
2,Wed,9,09:15,32,32,0
2,Wed,10,09:30,38,38,0
2,Wed,11,09:45,41,42,1
2,Wed,12,10:00,42,42,0
2,Wed,13,10:15,45,50,5
2,Wed,14,10:30,43,43,0
2,Wed,15,10:45,43,52,9
2,Wed,16,11:00,42,42,0
2,Wed,17,11:15,40,47,7
2,Wed,18,11:30,35,35,0
2,Wed,19,11:45,35,48,13
2,Wed,20,12:00,33,38,5
2,Wed,21,12:15,30,43,13
2,Wed,22,12:30,27,35,8
2,Wed,23,12:45,26,37,11
2,Wed,24,13:00,26,36,10
2,Wed,25,13:15,26,37,11
2,Wed,26,13:30,29,30,1
2,Wed,27,13:45,29,35,6
2,Wed,28,14:00,36,36,0
2,Wed,29,14:15,37,39,2
2,Wed,30,14:30,38,38,0
2,Wed,31,14:45,35,41,6
2,Wed,32,15:00,32,33,1
2,Wed,33,15:15,37,44,7
2,Wed,34,15:30,33,34,1
2,Wed,35,15:45,32,39,7
